kode;urusankd;programkd;kode2;nama;level
"1.01.21.02";"1.01";"21";"02";"Pengembangan minat dan budaya baca";0
"1.01.21.03";"1.01";"21";"03";"Supervisi, pembinaan dan stimulasi pada perpustakaan umum, perpustakaan khusus, perpustakaan sekolah dan perpustakaan masyarakat";0
"1.01.21.04";"1.01";"21";"04";"Pelaksanaan Koordinasi pengembangan kepustakaan";0
"1.01.21.05";"1.01";"21";"05";"Penyediaan bantuan pengembangan perpustakaan dan minat baca di daerah";0
"1.01.21.06";"1.01";"21";"06";"Penyelenggaraan kordinasi pengembangan budaya baca";0
"1.01.21.07";"1.01";"21";"07";"Perencanaan dan penyusunan program budaya baca";0
"1.01.21.08";"1.01";"21";"08";"Publikasi dan sosialisasi minat dan budaya baca";0
"1.01.21.09";"1.01";"21";"09";"Penyediaan bahan pustaka perpustakaan umum daerah";0
"1.01.21.10";"1.01";"21";"10";"Monitoring, evaluasi dan pelaporan";0
"1.01.21.11";"1.01";"21";"11";"Pengadaan Buku Deradikalisasi & karakter bangsa";0
"1.01.21.12";"1.01";"21";"12";"Kompetisi Prestasi Siswa SMP/SMA/SMK Liga Pendidika Indonesia(LPI)";0
"1.01.22.01";"1.01";"22";"01";"Pelaksanaan evaluasi hasil kinerja bidang pendidikan";0
"1.01.22.02";"1.01";"22";"02";"Pelaksanaan kerjasama secara kelembagaan di bidang pendidikan";0
"1.01.22.03";"1.01";"22";"03";"Pengendalian dan pengawasan penerapan azas efesiensi dan efektifitas penggunaan dana dekonsentrasi dan dana pembantuan";0
"1.01.22.04";"1.01";"22";"04";"Sosialisasi dan advokasi berbagai peraturan pemerintah di bidang pendidikan";0
"1.01.22.05";"1.01";"22";"05";"Pembinaan dewan pendidikan";0
"1.01.22.06";"1.01";"22";"06";"Pembinaan komite sekolah";0
"1.01.22.07";"1.01";"22";"07";"Penerapan sistem dan informasi manajemen pendidikan";0
"1.01.22.08";"1.01";"22";"08";"Penyelenggaraan pelatihan, seminar dan lokakarya serta diskusi ilmiah tentang berbagai isu pendidikan";0
"1.01.22.09";"1.01";"22";"09";"Monitoring, evaluasi dan pelaporan";0
"1.01.22.10";"1.01";"22";"10";"Pengawasan Pelaksanaan Pembangunan Sekolah";0
"1.01.22.11";"1.01";"22";"11";"Perencanaan Teknis Bangunan Sekolah";0
"1.01.22.12";"1.01";"22";"12";"Penyusunan Perencanaan Standar Pelayanan Minimal";0
"1.01.22.13";"1.01";"22";"13";"Pengelolaan Data Bidang  Pendiidkan";0
"1.01.22.14";"1.01";"22";"14";"Fasilitasi Perencanaan Pendidikan";0
"1.01.22.15";"1.01";"22";"15";"Fasilitasi Manajemen dan Operasionalisasi Pelayanan Pendidikan pada Unit Pelaksana Teknis (UPT) Taman Kanak-Kanan (TK), Sekolah Dasar (SD), Pendidikan Nonformal dan Informal (PNFI) serta UPT Sanggar Kegiatan Belajar (SKB)";0
"1.01.22.17";"1.01";"22";"17";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Balaraja";0
"1.01.22.18";"1.01";"22";"18";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Cikupa";0
"1.01.22.19";"1.01";"22";"19";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Cisauk";0
"1.01.22.20";"1.01";"22";"20";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Cisoka";0
"1.01.22.21";"1.01";"22";"21";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Curug";0
"1.01.22.22";"1.01";"22";"22";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Gunung Kaler";0
"1.01.22.23";"1.01";"22";"23";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Jambe";0
"1.01.22.24";"1.01";"22";"24";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Jayanti";0
"1.01.22.25";"1.01";"22";"25";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Kelapa Dua";0
"1.01.22.26";"1.01";"22";"26";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Kemiri";0
"1.01.22.27";"1.01";"22";"27";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Kosambi";0
"1.01.22.28";"1.01";"22";"28";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Kresek";0
"1.01.22.29";"1.01";"22";"29";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Kronjo";0
"1.01.22.30";"1.01";"22";"30";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Legok";0
"1.01.22.31";"1.01";"22";"31";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Mauk";0
"1.01.22.32";"1.01";"22";"32";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Mekarbaru";0
"1.01.22.33";"1.01";"22";"33";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Pagedangan";0
"1.01.22.34";"1.01";"22";"34";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Pakuhaji";0
"1.01.22.35";"1.01";"22";"35";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Panongan";0
"1.01.22.36";"1.01";"22";"36";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Pasar Kemis";0
"1.01.22.37";"1.01";"22";"37";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Rajeg";0
"1.01.22.38";"1.01";"22";"38";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Sepatan";0
"1.01.22.39";"1.01";"22";"39";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Sepatan Timur";0
"1.01.22.40";"1.01";"22";"40";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Solear";0
"1.01.22.41";"1.01";"22";"41";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Sindangjaya";0
"1.01.22.42";"1.01";"22";"42";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Sukadiri";0
"1.01.22.43";"1.01";"22";"43";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Sukamulya";0
"1.01.22.44";"1.01";"22";"44";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Teluknaga";0
"1.01.22.45";"1.01";"22";"45";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT Pendidikan Tigaraksa";0
"1.01.22.46";"1.01";"22";"46";"Fasilitasi Sarana dan Prasarana Peningkatan Pelayanan UPT - SKB Pendidikan";0
"1.01.22.47";"1.01";"22";"47";"Pengembangan Mutu Sekolah melalui Jaringan Berbasis Internet";0
"1.01.22.48";"1.01";"22";"48";"Fasilitasi Kegiatan Program Keluarga Harapan Perlindungan Pekerja Anak";0
"1.01.22.49";"1.01";"22";"49";"Pemberdayaan Gugus SMP";0
"1.01.22.50";"1.01";"22";"50";"Sosialisasi dan Pendampingan Data Pokok Pendidikan ";0
"1.01.22.51";"1.01";"22";"51";"Pemberdayaan dan Penilaian Kinerja Gugus Sekolah Dasar (SD)";0
"1.01.22.52";"1.01";"22";"52";"Sosialisasi Perundang-undangan Kepegawaian Guru SMA dan SMK";0
"1.01.22.60";"1.01";"22";"60";"Publikasi Bidang Pendidikan SMP";0
"1.02.15.01";"1.02";"15";"01";"Pengadaaan obat dan perbekalan kesehatan";0
"1.02.15.02";"1.02";"15";"02";"Peningkatan pemerataan obat dan perbekalan kesehatan";0
"1.02.15.03";"1.02";"15";"03";"Peningkatan keterjangkauan harga obat dan perbekalan kesehatan terutama untuk penduduk miskin";0
"1.02.15.04";"1.02";"15";"04";"Peningkatan mutu pelayanan farmasi komunitas dan rumah sakit";0
"1.02.15.05";"1.02";"15";"05";"Peningkatan mutu penggunaan obat dan perbekalan kesehatan";0
"1.02.15.06";"1.02";"15";"06";"Monitoring, evaluasi dan pelaporan";0
"1.02.15.07";"1.02";"15";"07";"Penyimpanan, Distribusi dan Pengujian Mutu Obat";0
"1.02.15.08";"1.02";"15";"08";"Pengadaan bahan Kimia / Regensia";0
"1.02.15.09";"1.02";"15";"09";"Pengadaan Obat-obatan";0
"1.02.15.10";"1.02";"15";"10";"Pemusnahan Limbah Medis dan Bahan Berbahaya";0
"1.02.16.";"1.02";"16";;;0
"1.02.16.01";"1.02";"16";"01";"Pelayanan kesehatan penduduk miskin dipuskesmas dan jaringannya";0
"1.02.16.02";"1.02";"16";"02";"Pemeliharaan dan pemulihan kesehatan";0
"1.02.16.03";"1.02";"16";"03";"Pengadaan, peningkatan dan perbaikan sarana dan prasarana puskesmas dan jaringannya";0
"1.02.16.04";"1.02";"16";"04";"Penyelenggaraan pencegahan dan pemberantasan penyakit menular dan wabah";0
"1.02.16.05";"1.02";"16";"05";"Perbaikan gizi mayarakat";0
"1.02.16.06";"1.02";"16";"06";"revitalisasi sitem kesehatan";0
"1.02.16.07";"1.02";"16";"07";"Pelayanan kefarmasian dan perbekalan kesehatan";0
"1.02.16.08";"1.02";"16";"08";"Pengadaan peralatan dan perbekalan kesehatan termasuk obat generik esensial";0
"1.02.16.09";"1.02";"16";"09";"Peningkatan kesehatan masyarakat";0
"1.02.16.11";"1.02";"16";"11";"Peningkatan pelayanan kesehatan bagi pengungsi korban bencana";0
"1.02.16.12";"1.02";"16";"12";"Peningkatan pelayanan dan penanggulangan masalah kesehatan";0
"1.02.16.13";"1.02";"16";"13";"penyediaan biaya operasional dan pemeliharaan";0
"1.02.16.14";"1.02";"16";"14";"Penyelenggaraan penyehatan lingkungan";0
"1.02.16.15";"1.02";"16";"15";"Monitoring, evaluasi dan pelaporan";0
"1.02.16.16";"1.02";"16";"16";"Koordinasi Pengembangan Kesehatan Masyarakat";0
"1.02.16.17";"1.02";"16";"17";"Pembinaan Pengembangan Upaya Kesehatan Bersumberdaya Masyarakat";0
"1.02.16.18";"1.02";"16";"18";"Pembinaan Penyuluhan Kesehatan Keluarga dan Kesehatan Lingkungan";0
"1.02.16.19";"1.02";"16";"19";"Pemantauan Keberadaan Tenaga Kesehatan Desa";0
"1.02.16.20";"1.02";"16";"20";"Pengembangan Usaha Kesehatan Masyarakat di Puskesmas dan Jaringannya";0
"1.02.16.21";"1.02";"16";"21";"Pelaksanaan Bakti sosial Pelayanan Kesehatan";0
"1.02.16.22";"1.02";"16";"22";"Pemantauan Sarana Sanitasi dan Kualitas Kesehatan Lingkungan";0
"1.02.16.23";"1.02";"16";"23";"Pelaksanaan Pemberantasan Hama (Pest Control)";0
"1.02.16.24";"1.02";"16";"24";"Perencanaan Pembangunan Kesehatan Di Wilayah Kecamatan";0
"1.02.16.25";"1.02";"16";"25";"Penyediaan Rumah Tinggal Tenaga Kesehatan Tertentu Di Desa";0
"1.02.16.26";"1.02";"16";"26";"Penyiapan Lahan Pembangunan Puskesmas dan Jaringannya";0
"1.02.16.27";"1.02";"16";"27";"Perumusan Kebijakan Pembangunan Kesehatan Di Wilayah Kecamatan";0
"1.02.16.28";"1.02";"16";"28";"Pendataan Jumlah Keluarga Miskin (GAKIN)";0
"1.02.16.29";"1.02";"16";"29";"Pengumpulan Data Bidang Kesehatan";0
"1.02.16.30";"1.02";"16";"30";"Penyelenggaraan Kegiatan-Kegiatan Desa Siaga";0
"1.02.16.31";"1.02";"16";"31";"Peningkatan Kesehatan Remaja";0
"1.02.16.32";"1.02";"16";"32";"Peningkatan Usaha Kesehatan Sekolah";0
"1.02.16.33";"1.02";"16";"33";"Peningkatan Pelayanan LABKESDA";0
"1.02.16.34";"1.02";"16";"34";"Seleksi  Penerimaan Tenaga Medis dan Para Medis PTT Daerah";0
"1.02.16.35";"1.02";"16";"35";"Peningkatan Pelayanan Promosi Rumah Sakit Umum Balaraja";0
"1.02.16.36";"1.02";"16";"36";"Pelayanan kesehatan penduduk miskin di rumah sakit";0
"1.02.16.37";"1.02";"16";"37";"Penyelenggaraan kegiatan Tindakan Operasi ";0
"1.02.16.38";"1.02";"16";"38";"Upaya Kesehatan Masyarakat Puskesmas Legok";0
"1.02.16.39";"1.02";"16";"39";"Upaya Kesehatan Masyarakat Puskesmas Mekar Baru";0
"1.02.16.40";"1.02";"16";"40";"Upaya Kesehatan Masyarakat Puskesmas Sukadiri";0
"1.02.16.41";"1.02";"16";"41";"Upaya Kesehatan Masyarakat Puskesmas Cikupa";0
"1.02.16.42";"1.02";"16";"42";"Upaya Kesehatan Masyarakat Puskesmas Sindang Jaya";0
"1.02.16.43";"1.02";"16";"43";"Upaya Kesehatan Masyarakat Puskesmas Cikuya";0
"1.02.16.44";"1.02";"16";"44";"Upaya Kesehatan Masyarakat Puskesmas Cisauk";0
"1.02.16.45";"1.02";"16";"45";"Upaya Kesehatan Masyarakat Puskesmas Pasir Jaya";0
"1.02.16.46";"1.02";"16";"46";"Upaya Kesehatani Masyarakat Puskesmas Sukawali";0
"1.02.16.47";"1.02";"16";"47";"Upaya Kesehatan Masyarakat Puskesmas Sukamulya";0
"1.02.16.48";"1.02";"16";"48";"Upaya Kesehatan Masyarakat Puskesmas Panongan";0
"1.02.16.49";"1.02";"16";"49";"Upaya Kesehatan Masyarakat Puskesmas Balaraja";0
"1.02.16.50";"1.02";"16";"50";"Upaya Kesehatan Masyarakat Puskesmas Jayanti";0
"1.02.16.51";"1.02";"16";"51";"Upaya Kesehatan Masyarakat Puskesmas Mauk";0
"1.02.16.52";"1.02";"16";"52";"Upaya Kesehatani Masyarakat Puskesmas Sukatani";0
"1.02.16.53";"1.02";"16";"53";"Upaya Kesehatani Masyarakat Puskesmas Rajeg";0
"1.02.16.54";"1.02";"16";"54";"Upaya Kesehatan Masyarakat Puskesmas Jambe";0
"1.02.16.55";"1.02";"16";"55";"Upaya Kesehatan Masyarakat Puskesmas Gunung Kaler";0
"1.02.16.56";"1.02";"16";"56";"Upaya Kesehatan Masyarakat Puskesmas Tegal Angus";0
"1.02.16.57";"1.02";"16";"57";"Upaya Kesehatan Masyarakat Puskesmas Pakuhaji";0
"1.02.16.58";"1.02";"16";"58";"Upaya Kesehatan Masyarakat Puskesmas Teluknaga";0
"1.02.16.59";"1.02";"16";"59";"Upaya Kesehatan Masyarakat Puskesmas Kosambi";0
"1.02.16.60";"1.02";"16";"60";"Upaya Kesehatan Masyarakat Puskesmas Suradita";0
"1.02.16.61";"1.02";"16";"61";"Upaya Kesehatan Masyarakat Puskesmas Kemeri";0
"1.02.16.63";"1.02";"16";"63";"Upaya Kesehatan Masyarakat Puskesmas Kedaung Barat";0
"1.02.16.64";"1.02";"16";"64";"Upaya Kesehatan Masyarakat Puskesmas Salembaran Jaya";0
"1.02.16.65";"1.02";"16";"65";"Upaya Kesehatan Masyarakat Puskesmas Pagedangan";0
"1.02.16.66";"1.02";"16";"66";"Upaya Kesehatan Masyarakat Puskesmas Gembong";0
"1.02.16.67";"1.02";"16";"67";"Upaya Kesehatan Masyarakat Puskesmas Kronjo";0
"1.02.16.68";"1.02";"16";"68";"Upaya Kesehatan Masyarakat Puskesmas Kutabumi";0
"1.02.16.69";"1.02";"16";"69";"Upaya Kesehatan Masyarakat Puskesmas Bojong Kamal";0
"1.02.16.70";"1.02";"16";"70";"Upaya Kesehatan Masyarakat Puskesmas Caringin";0
"1.02.16.71";"1.02";"16";"71";"Jambore Sanitasi ";0
"1.02.16.72";"1.02";"16";"72";"Penanggulangan Kegawat Daruratan Terpadu";0
"1.02.16.73";"1.02";"16";"73";"Upaya Kesehatan Masyarakat Puskesmas Curug";0
"1.02.16.74";"1.02";"16";"74";"Upaya Kesehatan Masyarakat Puskesmas Pasir Nangka";0
"1.02.16.75";"1.02";"16";"75";"Upaya Kesehatan Masyarakat Puskesmas Binong";0
"1.02.16.76";"1.02";"16";"76";"Upaya Kesehatan Masyarakat Puskesmas Tigaraksa";0
"1.02.16.77";"1.02";"16";"77";"Upaya Kesehatan Masyarakat Puskesmas Kresek";0
"1.02.16.78";"1.02";"16";"78";"Upaya Kesehatan Masyarakat Puskesmas Cisoka";0
"1.02.17.01";"1.02";"17";"01";"Peningkatan pemberdayaan konsumen/masyarakat di bidang obat dan makanan";0
"1.02.17.02";"1.02";"17";"02";"Peningkatan pengawasan keamanan pangan dan bahan berbahaya";0
"1.02.17.03";"1.02";"17";"03";"Peningkatan kapasitas laboratorium pengawasan obat dan makanan";0
"1.02.17.04";"1.02";"17";"04";"Peningkatan penyidikan dan penegakan hukum di bidang obat dan makanan";0
"1.02.17.05";"1.02";"17";"05";"Monitoring, evaluasi dan pelaporan";0
"1.02.18.01";"1.02";"18";"01";"fsilitasi pengembangan dan penelitian teknologi produksi tanaman obat";0
"1.02.18.02";"1.02";"18";"02";"Pengembanganstandarisasi tanaman obat bahan alam indonesia";0
"1.02.18.03";"1.02";"18";"03";"Peningkatan promosi obat bahan alam indonesia di dalam dan di luar negeri";0
"1.02.18.04";"1.02";"18";"04";"Pengembangan sistem dan layanan informasi terpadu";0
"1.02.18.05";"1.02";"18";"05";"Peningkatan kerjasama antar lembaga penelitian dan industri terkait";0
"1.02.18.06";"1.02";"18";"06";"Monitoring, evaluasi dan pelaporan";0
"1.02.19.01";"1.02";"19";"01";"Pengembangan media promosi dan informasi sadar hidup sehat";0
"1.02.19.02";"1.02";"19";"02";"Penyuluhan masyarakat pola hidup sehat";0
"1.02.19.03";"1.02";"19";"03";"Peningkatan pemanfaatna sarana kesehatan";0
"1.02.19.04";"1.02";"19";"04";"Peningkatan pendidikan tenaga penyuluh kesehatan";0
"1.02.19.05";"1.02";"19";"05";"Monitoring, evaluasi dan pelaporan";0
"1.02.19.06";"1.02";"19";"06";"Penanggulangan bahaya rokok dan NAPZA";0
"1.02.20.01";"1.02";"20";"01";"Penyusunan peta informasi masyarakat kurang gizi";0
"1.02.20.02";"1.02";"20";"02";"Pemberian tambahan makanan dan vitamin";0
"1.02.20.03";"1.02";"20";"03";"Peanggulangan kurang energi protein (KEP), anemia gizi besi, gangguan akibat kurang yodium (GAKY), kurang vitamin A dan kekurangan zat gizi mikro lainnya";0
"1.02.20.04";"1.02";"20";"04";"Pemberdayaan masyarakat untuk pencapaian keluarga sadar gizi";0
"1.02.20.05";"1.02";"20";"05";"Peningkatan gizi lebih";0
"1.02.20.06";"1.02";"20";"06";"Monitoring, evaluasi dan pelaporan";0
"1.02.21.01";"1.02";"21";"01";"Pengkajian pengembangan lingkungan sehat";0
"1.02.21.02";"1.02";"21";"02";"Penyuluhan menciptakan lingkungan sehat";0
"1.02.21.03";"1.02";"21";"03";"Sosialisasi kebijakan lingkungan sehat";0
"1.02.21.04";"1.02";"21";"04";"Monitoring, evaluasi dan pelaporan";0
"1.02.22.01";"1.02";"22";"01";"Penyemprotan/fogging sarang nyamuk";0
"1.02.22.02";"1.02";"22";"02";"Pengadaan alat fogging dan bahan-bahan fogging";0
"1.02.22.03";"1.02";"22";"03";"Pengadaan vaksin penyakit menular";0
"1.02.22.04";"1.02";"22";"04";"Pelayanan vaksinasi bagi balita dan anak sekolah";0
"1.02.22.05";"1.02";"22";"05";"Pelayanan pencegahan dan penanggulangan penyakit menular";0
"1.02.22.06";"1.02";"22";"06";"Pencegahan penularan penyakit endemik/epidemik";0
"1.02.22.07";"1.02";"22";"07";"Pemusnahan/karantina sumber penyebab penyakit menular";0
"1.02.22.08";"1.02";"22";"08";"Peningkatan Imunisasi";0
"1.02.22.09";"1.02";"22";"09";"Peningkatan surveillance epideminologi dan penaggulangan wabah";0
"1.02.22.10";"1.02";"22";"10";"Peningkatan komunikasi, informasi dan edukasi (kie) pencegahan dan pemberantasan penyakit";0
"1.02.22.11";"1.02";"22";"11";"Monitoring, evaluasi dan pelaporan";0
"1.02.22.12";"1.02";"22";"12";"Pelayanan Pencegahan dan Penanggulangan Penyakit Menular Kusta";0
"1.02.22.13";"1.02";"22";"13";"Pelayanan Pencegahan dan Penanggulangan Penyakit Menular TB Paru";0
"1.02.22.14";"1.02";"22";"14";"Pelayanan Pencegahan dan Penanggulangan Penyakit Menular HIV-AIDS";0
"1.02.22.15";"1.02";"22";"15";"Pelayanan Pencegahan dan Penanggulangan Penyakit Menular ISPA-Diare";0
"1.02.22.16";"1.02";"22";"16";"Pelayanan Pencegahan dan Penanggulangan Penyakit Menular DBD";0
"1.02.23.01";"1.02";"23";"01";"Penyusunan standar kesehatan";0
"1.02.23.02";"1.02";"23";"02";"Evaluasi dan pengembangan standar pelayanan kesahtan";0
"1.02.23.03";"1.02";"23";"03";"Pembangunan dan pemutakhiran data dasar standar pelayanan kesehatan";0
"1.02.23.04";"1.02";"23";"04";"Penyusunan naskah akademis standar pelayanan kesehatan";0
"1.02.23.05";"1.02";"23";"05";"Penyusunan standar analisis belanja pelayanan kesehatan";0
"1.02.23.06";"1.02";"23";"06";"Monitoring, evaluasi dan pelaporan";0
"1.02.24.01";"1.02";"24";"01";"Pelayanan operasi katarak";0
"1.02.24.02";"1.02";"24";"02";"Pelayanan kesehatan THT";0
"1.02.24.03";"1.02";"24";"03";"Pelayanan operasi bibir sumbing";0
"1.02.24.04";"1.02";"24";"04";"Pelayanan sunatan masal";0
"1.02.24.05";"1.02";"24";"05";"Penanggulangan ISPA";0
"1.02.24.06";"1.02";"24";"06";"Penanggulangan penyakit cacingan";0
"1.02.24.07";"1.02";"24";"07";"Pelayanan kesehatan kulit dan kelamin";0
"1.02.24.08";"1.02";"24";"08";"Pelayanan kesehatan akibat gizi buruk/busung lapar";0
"1.02.24.09";"1.02";"24";"09";"Pelayanan kesehatan akibat lumpuh kayu";0
"1.02.24.10";"1.02";"24";"10";"Monitoring, evaluasi dan pelaporan";0
"1.02.24.11";"1.02";"24";"11";"Pengadaan Mobil Kesehatan";0
"1.02.25.01";"1.02";"25";"01";"Pembangunan puskesmas";0
"1.02.25.02";"1.02";"25";"02";"Pembangunan puskesmas pembantu";0
"1.02.25.03";"1.02";"25";"03";"Pengadaaan puskesmas perairan";0
"1.02.25.04";"1.02";"25";"04";"Pengadaaan puskesmas keliling";0
"1.02.25.05";"1.02";"25";"05";"Pembangunan posyandu";0
"1.02.25.07";"1.02";"25";"07";"Pengadaaan sarana dan prasarana puskesmas";0
"1.02.25.08";"1.02";"25";"08";"Pengadaaan sarana dan prasarana puskesmas pembantu";0
"1.02.25.09";"1.02";"25";"09";"Pengadaaan sarana dan prasarana puskesmas perairan";0
"1.02.25.10";"1.02";"25";"10";"Pengadaan Sarana dan Prasarana Posyandu";0
"1.02.25.11";"1.02";"25";"11";"Pengadaaan sarana dan prasarana keliling";0
"1.02.25.12";"1.02";"25";"12";"Peningkatan puskesmas menjadi puskesmas rawat inap";0
"1.02.25.13";"1.02";"25";"13";"Peningkatan puskesmas pembantu menjadi puskesmas";0
"1.02.25.14";"1.02";"25";"14";"Pemeliharaan rutin/berkala sarana dan prasarana puskesmas";0
"1.02.25.15";"1.02";"25";"15";"Pemeliharaan rutin/berkala saranan dan prasarana puskesmas pembantu";0
"1.02.25.16";"1.02";"25";"16";"Pemeliharaan rutin/berkala saranan dan prasarana puskesmas perairan";0
"1.02.25.17";"1.02";"25";"17";"Pemeliharaan rutin/berkala saranan dan prasarana puskesmas keliling";0
"1.02.25.18";"1.02";"25";"18";"Pemeliharaan rutin/berkala saranan dan prasarana posyandu";0
"1.02.25.19";"1.02";"25";"19";"Peningkatan puskesmas menjadi puskesmas rawat inap";0
"1.02.25.20";"1.02";"25";"20";"Peningkatan puskesmas pembantu menjadi puskesmas";0
"1.02.25.21";"1.02";"25";"21";"Rehabilitasi sedang/berat puskesmas pembatu";0
"1.02.25.22";"1.02";"25";"22";"Rehabilitasi sedang/berat puskesmas perairan";0
"1.02.25.23";"1.02";"25";"23";"Monitoring, evaluasi dan pelaporan";0
"1.02.25.24";"1.02";"25";"24";"Rehabilitasi sedang/berat puskesmas";0
"1.02.26.01";"1.02";"26";"01";"Pembangunan rumah sakit";0
"1.02.26.02";"1.02";"26";"02";"Pembangunan ruang poliklinik rumah sakit";0
"1.02.26.03";"1.02";"26";"03";"Pembangunan gudang obat/apotik";0
"1.02.26.04";"1.02";"26";"04";"Penambahan ruang rawat inap rumah sakit (VVIP, VIP, Kelas I,II,III)";0
"1.02.26.05";"1.02";"26";"05";"Pengembangan ruang gawat darurat";0
"1.02.26.06";"1.02";"26";"06";"Pengambangan ruang ICU, ICCU, NICU";0
"1.02.26.07";"1.02";"26";"07";"Pengembangan ruang operasi";0
"1.02.26.08";"1.02";"26";"08";"Pengambangan ruang terapi";0
"1.02.26.09";"1.02";"26";"09";"Pengembangan ruang isolasi";0
"1.02.26.10";"1.02";"26";"10";"Pengembangan ruang bersalin";0
"1.02.26.11";"1.02";"26";"11";"Pengembangan ruang inkubator";0
"1.02.26.12";"1.02";"26";"12";"Pengembangan ruang bayi";0
"1.02.26.13";"1.02";"26";"13";"Pengembangan ruang rontgen";0
"1.02.26.14";"1.02";"26";"14";"Pengembangan ruang laboratorium rumah sakit";0
"1.02.26.15";"1.02";"26";"15";"Pembangunan kamar jenazah";0
"1.02.26.16";"1.02";"26";"16";"Pembangunan instalasi pengolahan limbah rumah sakit";0
"1.02.26.17";"1.02";"26";"17";"Rehabilitasi bangunan rumah sakit";0
"1.02.26.18";"1.02";"26";"18";"Pengadaan alat-alat rumah sakit";0
"1.02.26.19";"1.02";"26";"19";"Pengadaan obat-obatan rumah sakit";0
"1.02.26.20";"1.02";"26";"20";"Pengadaan ambulance/mobil jenazah";0
"1.02.26.21";"1.02";"26";"21";"Pengadaan mebeleur rumah sakit";0
"1.02.26.22";"1.02";"26";"22";"Pengadaan perlengkapan rumah tangga rumah sakit (dapur, ruang pasien, laundry, ruang tunggu dan lain-lain)";0
"1.02.26.23";"1.02";"26";"23";"Pengadaan bahan-bahan logistik rumah sakit";0
"1.02.26.24";"1.02";"26";"24";"Pengadaan pencetakan administrasi dan surat menyurat rumah sakit";0
"1.02.26.25";"1.02";"26";"25";"Pengembangan tipe rumah sakit";0
"1.02.26.26";"1.02";"26";"26";"Monitoring, evaluasi dan pelaporan";0
"1.02.26.27";"1.02";"26";"27";"Pembuatan Design Engenering Details (DED)";0
"1.02.26.28";"1.02";"26";"28";"Penambahan Ruang Rawat Inap Rumah Sakit Kelas III";0
"1.02.26.29";"1.02";"26";"29";"Pembangunan gedung logistik RSU";0
"1.02.26.30";"1.02";"26";"30";"Pembangunan Gedung Kantor RSU Tangerang";0
"1.02.26.31";"1.02";"26";"31";"Pengadaan Sarana Prasarana Rumah Sait";0
"1.02.26.32";"1.02";"26";"32";"Pembangunan Gedung Sterilisasi";0
"1.02.26.33";"1.02";"26";"33";"Pembangunan RAM pasien paviliun kemuning";0
"1.02.26.34";"1.02";"26";"34";"Upgrade SIM Rumah Sakit";0
"1.02.26.35";"1.02";"26";"35";"Pembangunan Gedung Poliklinik dan Medical Check Up";0
"1.02.26.36";"1.02";"26";"36";"Pengadaan bahan pakai habis kesehatan rumah sakit";0
"1.02.26.37";"1.02";"26";"37";"Pengadaan bahan kimia / reagen rumah sakit";0
"1.02.26.38";"1.02";"26";"38";"BOP DAK Kesehatan";0
"1.02.26.39";"1.02";"26";"39";"Pengadaan Sarana Prasarana Rumah Sakit";0
"1.02.26.40";"1.02";"26";"40";"Pengadaan alat-alat rumah sakit (DAK)";0
"1.02.27.01";"1.02";"27";"01";"Pemeliharaan rutin/berkala rumah sakit";0
